               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.041014,              0.0462,           0.0084737,             0.78982,             0.85129,             0.88039,             0.60325,            0.037003,            0.024371,           0.0041742,           0.0082675,           0.0082675,           0.0082675
                  37,            0.040011,            0.043778,           0.0085396,             0.79133,             0.85454,             0.88378,             0.61279,            0.036537,            0.023952,           0.0040356,            0.008218,            0.008218,            0.008218
                  38,            0.040462,            0.044063,           0.0086114,             0.83877,               0.855,             0.90673,             0.62935,            0.036084,            0.024216,           0.0039941,           0.0081685,           0.0081685,           0.0081685
                  39,            0.040879,            0.047783,           0.0085521,              0.8497,              0.8455,              0.9003,             0.63275,            0.035537,            0.023592,           0.0039306,            0.008119,            0.008119,            0.008119
                  40,            0.039783,            0.043034,           0.0080234,             0.87325,             0.85004,             0.91732,             0.64303,             0.03495,            0.023561,            0.003971,           0.0080695,           0.0080695,           0.0080695
                  41,            0.040754,            0.042513,           0.0085648,              0.8791,             0.83957,             0.91804,             0.65265,            0.034178,            0.023472,           0.0040559,             0.00802,             0.00802,             0.00802
                  42,            0.037382,            0.040127,           0.0082129,             0.88441,             0.85287,             0.92166,             0.64697,            0.036035,            0.023938,           0.0040379,           0.0079705,           0.0079705,           0.0079705
                  43,            0.040522,            0.040838,           0.0085421,             0.87194,             0.85643,             0.91083,             0.61905,            0.036349,            0.023935,           0.0041301,            0.007921,            0.007921,            0.007921
                  44,            0.040592,            0.041002,           0.0079708,             0.86494,             0.88415,             0.91524,             0.62679,            0.035194,            0.023823,           0.0040724,           0.0078715,           0.0078715,           0.0078715
                  45,            0.040492,            0.043035,           0.0076383,             0.84063,              0.8841,             0.91838,             0.63523,            0.035103,            0.023999,           0.0040681,            0.007822,            0.007822,            0.007822
                  46,            0.038742,            0.041578,           0.0089109,              0.8295,             0.88458,             0.91739,             0.63414,            0.035013,            0.023906,           0.0040014,           0.0077725,           0.0077725,           0.0077725
                  47,            0.039605,            0.042027,           0.0090571,             0.86072,             0.86976,             0.91534,             0.62081,            0.035297,            0.023492,           0.0039121,            0.007723,            0.007723,            0.007723
                  48,            0.040467,            0.042587,           0.0084739,             0.90476,             0.85331,             0.92434,             0.64631,            0.033867,            0.023134,           0.0038882,           0.0076735,           0.0076735,           0.0076735
                  49,            0.040843,            0.043757,           0.0076357,             0.90941,             0.85452,             0.92937,             0.64539,            0.033899,            0.023018,           0.0038735,            0.007624,            0.007624,            0.007624
                  50,            0.039263,            0.042997,           0.0078158,             0.88208,             0.85462,             0.93354,             0.66406,            0.034137,            0.022937,           0.0038275,           0.0075745,           0.0075745,           0.0075745
                  51,            0.037157,            0.038265,           0.0081757,               0.891,             0.86198,             0.92243,             0.64102,            0.033865,            0.022598,           0.0037521,            0.007525,            0.007525,            0.007525
                  52,            0.037467,            0.041983,            0.007565,             0.87735,             0.85795,             0.92835,             0.64656,            0.033987,            0.022678,           0.0037538,           0.0074755,           0.0074755,           0.0074755
                  53,            0.040183,            0.041056,            0.007902,             0.91151,             0.84738,             0.93697,             0.65871,            0.032889,            0.022598,           0.0036964,            0.007426,            0.007426,            0.007426
                  54,            0.039698,            0.038584,           0.0076067,             0.89109,             0.85268,             0.93415,             0.65134,            0.033542,            0.022709,           0.0036936,           0.0073765,           0.0073765,           0.0073765
                  55,             0.03823,             0.04249,           0.0072178,             0.87656,             0.86502,             0.93339,             0.66659,            0.032478,            0.022527,           0.0036449,            0.007327,            0.007327,            0.007327
                  56,            0.037714,            0.040002,           0.0082794,             0.85625,             0.87393,             0.92606,             0.63692,            0.034896,            0.022895,           0.0036294,           0.0072775,           0.0072775,           0.0072775
                  57,            0.038793,            0.042957,           0.0074657,             0.83404,             0.87868,             0.91805,             0.64647,            0.034002,            0.022831,           0.0036886,            0.007228,            0.007228,            0.007228
