               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 158,            0.028569,            0.034942,           0.0044913,             0.90395,             0.95492,             0.96623,             0.78969,            0.022896,            0.016636,           0.0020642,           0.0022285,           0.0022285,           0.0022285
                 159,            0.026531,            0.032055,           0.0050711,             0.90684,             0.95572,             0.96785,             0.79516,            0.022104,            0.016467,           0.0020483,            0.002179,            0.002179,            0.002179
                 160,            0.026335,            0.031845,           0.0041316,             0.90568,             0.95794,             0.96937,             0.79314,             0.02261,            0.016634,           0.0020412,           0.0021295,           0.0021295,           0.0021295
                 161,            0.025462,            0.031837,           0.0044023,             0.90256,             0.95305,             0.96929,             0.78707,            0.022345,            0.016554,           0.0020337,             0.00208,             0.00208,             0.00208
                 162,            0.027206,            0.030897,            0.004328,              0.9089,             0.95058,             0.96806,             0.79275,            0.021896,            0.016428,           0.0020345,           0.0020305,           0.0020305,           0.0020305
                 163,            0.027241,            0.031048,            0.004741,             0.90322,             0.95365,             0.96749,             0.79886,            0.021609,            0.016319,           0.0020179,            0.001981,            0.001981,            0.001981
                 164,            0.026813,            0.033256,           0.0046247,             0.90704,             0.95437,             0.96783,             0.79509,            0.021966,             0.01646,           0.0019947,           0.0019315,           0.0019315,           0.0019315
                 165,            0.028297,            0.032838,           0.0048867,             0.91256,             0.95314,             0.96787,              0.8027,            0.021626,            0.016373,            0.001989,            0.001882,            0.001882,            0.001882
                 166,            0.026646,            0.030512,           0.0040822,             0.91898,             0.95176,             0.96801,             0.81128,            0.021411,            0.016307,           0.0019895,           0.0018325,           0.0018325,           0.0018325
                 167,            0.027358,             0.03401,           0.0048428,             0.92467,              0.9489,             0.96757,              0.8089,            0.021389,            0.016324,           0.0019867,            0.001783,            0.001783,            0.001783
                 168,            0.026416,            0.035563,           0.0043769,             0.92574,             0.95081,             0.96953,             0.80736,            0.021461,            0.016287,           0.0019783,           0.0017335,           0.0017335,           0.0017335
                 169,            0.026848,            0.033665,           0.0046027,             0.91965,             0.95277,             0.96869,             0.80483,            0.021321,            0.016159,           0.0019608,            0.001684,            0.001684,            0.001684
                 170,            0.027779,            0.032841,           0.0044481,             0.91981,             0.95264,             0.96963,             0.81151,            0.021126,            0.016011,           0.0019398,           0.0016345,           0.0016345,           0.0016345
                 171,            0.026862,            0.033231,           0.0044234,             0.92217,             0.95113,             0.96979,             0.81301,            0.020945,            0.015922,            0.001927,            0.001585,            0.001585,            0.001585
                 172,              0.0274,            0.030897,           0.0044871,             0.92327,             0.94851,             0.97088,              0.8114,            0.021128,             0.01593,           0.0019167,           0.0015355,           0.0015355,           0.0015355
                 173,            0.027502,            0.032043,           0.0041022,             0.92315,             0.94397,             0.96818,             0.80478,            0.021619,            0.016044,           0.0019093,            0.001486,            0.001486,            0.001486
                 174,            0.026575,            0.032058,           0.0043513,             0.92374,             0.94363,             0.96997,             0.81281,            0.020901,            0.015873,           0.0018967,           0.0014365,           0.0014365,           0.0014365
                 175,            0.025872,            0.031297,           0.0041814,             0.92613,             0.94096,             0.96963,             0.81559,            0.020939,            0.015914,           0.0018816,            0.001387,            0.001387,            0.001387
                 176,            0.026557,            0.028549,           0.0040449,             0.93124,             0.94007,             0.96976,             0.81263,            0.021154,            0.015949,           0.0018749,           0.0013375,           0.0013375,           0.0013375
                 177,            0.027036,            0.032101,           0.0045244,              0.9344,             0.93764,             0.96837,             0.82033,            0.020662,            0.015808,           0.0018612,            0.001288,            0.001288,            0.001288
                 178,            0.024364,            0.028616,             0.00345,             0.93761,              0.9377,             0.96863,              0.8134,             0.02079,            0.015773,            0.001855,           0.0012385,           0.0012385,           0.0012385
                 179,            0.025329,             0.03162,            0.004179,             0.93426,             0.94032,              0.9693,             0.81846,             0.02055,             0.01572,           0.0018517,            0.001189,            0.001189,            0.001189
                 180,            0.025607,            0.030199,           0.0042518,             0.93627,             0.94062,             0.96859,              0.8171,            0.020552,            0.015793,           0.0018526,           0.0011395,           0.0011395,           0.0011395
                 181,            0.026016,            0.032734,           0.0042923,             0.93257,             0.94231,             0.96899,             0.81853,            0.020698,            0.015759,            0.001848,             0.00109,             0.00109,             0.00109
                 182,            0.026322,            0.033036,           0.0038927,             0.93041,             0.94272,             0.97076,             0.82306,            0.020446,             0.01564,           0.0018442,           0.0010405,           0.0010405,           0.0010405
                 183,            0.025979,             0.03135,           0.0039273,             0.92652,             0.94347,              0.9703,              0.8211,            0.020431,            0.015586,           0.0018388,            0.000991,            0.000991,            0.000991
                 184,            0.025853,            0.030446,           0.0040564,             0.93168,             0.94168,             0.97082,             0.82142,            0.020331,            0.015552,           0.0018366,           0.0009415,           0.0009415,           0.0009415
                 185,             0.02549,            0.032425,            0.004144,             0.92992,             0.94307,             0.97044,             0.81968,            0.020378,            0.015505,           0.0018268,            0.000892,            0.000892,            0.000892
                 186,            0.027173,              0.0335,           0.0044987,             0.92893,             0.94561,              0.9708,             0.82187,            0.020256,            0.015423,           0.0018186,           0.0008425,           0.0008425,           0.0008425
                 187,            0.025664,            0.030007,            0.003954,             0.92805,             0.94623,             0.97049,             0.82419,            0.020174,            0.015385,           0.0018063,            0.000793,            0.000793,            0.000793
                 188,             0.02443,            0.028373,           0.0040557,              0.9258,             0.94557,             0.97008,             0.82638,            0.020035,            0.015338,           0.0017926,           0.0007435,           0.0007435,           0.0007435
                 189,            0.024866,            0.030342,           0.0040176,             0.92343,             0.94635,             0.96964,             0.82709,             0.01998,            0.015312,           0.0017791,            0.000694,            0.000694,            0.000694
                 190,            0.025988,            0.031417,           0.0047402,             0.92012,             0.94899,             0.96886,             0.83082,            0.019962,            0.015303,           0.0017678,           0.0006445,           0.0006445,           0.0006445
                 191,            0.024486,            0.030331,           0.0036708,             0.92117,              0.9506,             0.96946,             0.83349,            0.019885,            0.015267,           0.0017565,            0.000595,            0.000595,            0.000595
                 192,            0.024396,            0.027909,           0.0037891,             0.91867,             0.94751,              0.9676,             0.83427,             0.01988,            0.015248,           0.0017484,           0.0005455,           0.0005455,           0.0005455
                 193,            0.024292,            0.030414,           0.0038287,             0.92294,             0.94549,             0.96774,             0.83572,            0.019731,            0.015187,           0.0017413,            0.000496,            0.000496,            0.000496
                 194,            0.024231,            0.027036,           0.0044387,             0.93115,             0.94543,             0.97066,             0.83264,            0.019706,            0.015213,           0.0017352,           0.0004465,           0.0004465,           0.0004465
                 195,            0.027158,            0.031788,           0.0043768,             0.93143,             0.94158,             0.97037,             0.83413,            0.019809,             0.01522,           0.0017305,            0.000397,            0.000397,            0.000397
                 196,            0.023853,            0.028914,           0.0037092,             0.93028,             0.93799,             0.96952,             0.83443,            0.019703,            0.015172,           0.0017233,           0.0003475,           0.0003475,           0.0003475
                 197,            0.025016,            0.030204,           0.0041084,             0.93223,             0.94051,             0.96995,             0.83353,            0.019599,            0.015121,           0.0017203,            0.000298,            0.000298,            0.000298
                 198,            0.023912,             0.02779,           0.0037685,             0.93339,             0.94015,             0.97049,             0.83507,            0.019624,            0.015124,            0.001716,           0.0002485,           0.0002485,           0.0002485
                 199,            0.024005,            0.028915,           0.0040209,             0.93267,             0.93955,             0.97076,             0.83431,            0.019621,            0.015117,           0.0017126,            0.000199,            0.000199,            0.000199
